State,Region,PerUrban,Poverty,MedAge,PerDgr,HomicideRate,BradyScore
Alabama,South,59.04,16,39,21.9,7.1,3.5
Alaska,West,66.02,12.2,34.3,27.9,4.1,-7
Arizona,West,89.81,14.4,37.7,25.9,5.5,-8
Arkansas,South,56.16,15.5,38.1,19.5,5.9,1
California,West,94.95,12.5,36.6,30.1,5,75
Colorado,West,86.15,8.9,36.8,36.4,3.1,14.5
Connecticut,Northeast,87.99,9.9,40.9,35.5,4.1,70
Delaware,South,83.3,9.6,40.4,27.8,6.2,34.5
District of Columbia,South,100,14.9,34,50.1,13.9,50
Florida,South,91.16,13.6,42.1,25.8,5.2,3
Georgia,South,75.07,14.7,36.7,27.3,5.9,2
Hawaii,West,91.93,9.5,39,29.5,2.1,58.5
Idaho,West,70.58,11.3,36.3,24.4,1.8,0
Illinois,Midwest,88.49,10.9,38.1,30.8,5.8,45
Indiana,Midwest,72.44,11.8,37.7,22.7,4.7,4.5
Iowa,Midwest,64.02,9.2,38.1,24.9,1.5,14
Kansas,Midwest,74.2,10.8,36.6,29.8,2.9,-4
Kentucky,South,58.38,15.3,38.8,20.5,4.5,-3.5
Louisiana,South,73.19,19.8,36.8,21.4,10.8,-2
Maine,Northeast,38.66,12.6,44.7,26.8,1.9,3
Maryland,South,87.2,7.1,38.7,36.1,6.3,66.5
Massachusetts,Northeast,91.97,9.8,39.5,39,1.8,60.5
Michigan,Midwest,74.57,11,39.8,25.2,7,15
Minnesota,Midwest,73.27,8.7,37.9,31.8,1.8,19.5
Mississippi,South,49.35,19.8,37.4,19.5,7.4,-4
Missouri,Midwest,70.44,11.9,38.6,25.6,6.5,-0.5
Montana,West,55.89,10.4,39.8,28.8,2.7,-3
Nebraska,Midwest,73.13,10.4,36.4,28.6,2.9,6.5
Nevada,West,94.2,12.2,37.9,21.7,4.5,1.5
New Hampshire,Northeast,60.3,6.4,43.1,32.8,1.1,5.5
New Jersey,Northeast,94.68,9.1,39.8,35.4,4.4,68.5
New Mexico,West,77.43,18.7,37.8,25,5.6,0
New York,Northeast,87.87,11.8,38.7,32.5,3.5,65.5
North Carolina,South,66.09,14.1,38.7,26.5,4.9,1.5
North Dakota,Midwest,59.9,10.9,35.1,27.6,4,2
Ohio,Midwest,77.92,12.8,39.4,24.6,4.3,10
Oklahoma,South,66.24,14,36.5,22.9,5.7,1
Oregon,West,81.03,10.6,39.3,28.8,2.4,11
Pennsylvania,Northeast,78.66,11.5,40.7,27.1,5.4,20
Rhode Island,Northeast,90.73,10.3,39.9,30.2,3.2,41.5
South Carolina,South,66.33,14.1,39.4,24.5,6.9,1
South Dakota,Midwest,56.65,11.8,37.1,26.3,3,-4.5
Tennessee,South,66.39,12.6,38.7,23.1,6,2
Texas,South,84.7,13.7,34.6,25.9,4.4,1.5
Utah,West,90.58,7.9,30.9,29.3,1.8,-2
Vermont,Northeast,38.9,9.6,42.9,33.6,1.3,-4
Virginia,South,75.45,10.7,38.2,34.2,3.8,7
Washington,West,84.05,10.3,37.7,31.1,3,19.5
West Virginia,South,48.72,17.2,42.5,17.5,3.9,3
Wisconsin,Midwest,70.15,9.5,39.4,26.3,3,13
Wyoming,West,64.76,11.4,37.7,24.1,2.4,-5
